id,x,y,z,colorb_v,lum,absmag,appmag,texnum,distly,dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,name
85319,230.9216,497.2631,-68.1584,-0.03,1495.00586,-3.21,5.5,1,1801.11,1,1.81,35.36,6.975,-8.618,-12.458,16.677,100435,HIP100435 HD193911 Gli 25Vul 
57367,61.9151,-46.3849,86.8089,0.82,66.22212,0.17,5.5,1,379.07,1,8.6,11.16,-16.41,0.585,-5.98,17.476,67172,HIP67172 HD119853 Gli 86Vir 
64925,61.5643,3.7484,55.4193,0.902,33.67483,0.91,5.5,1,270.32,1,12.06,5.97,-1.344,-13.47,-4.542,14.278,76133,HIP76133 HD138562 Gli 11Ser 
90014,37.3576,-0.8815,-38.7748,-0.63,14.20287,1.84,5.5,1,175.55,1,18.57,4.09,19.82,1.827,-2.138,20.018,105913,HIP105913 HD204018 Gli  
69307,79.1247,-58.4694,-21.0164,0.82,49.57095,0.49,5.5,1,327.97,1,9.94,6.64,21.182,-4.962,-19.039,28.91,81252,HIP81252 HD148890 Gli The TrA 
13532,-58.6073,-41.8584,-107.0625,0.82,81.54486,-0.05,5.5,1,420.65,1,7.75,9.03,4.374,-0.123,-23.904,24.302,15643,HIP15643 HD20894 Gli  
41854,-96.7461,42.1139,115.5731,1.137,119.94946,-0.47,5.5,1,510.17,1,6.39,10.33,-15.191,-24.806,-14.146,32.345,49005,HIP49005 HD86378 Gli  
21228,-166.4585,-49.6731,-59.0876,1.086,164.89484,-0.82,5.5,1,598.17,1,5.45,17.8,10.131,11.506,1.89,15.447,24450,HIP24450 HD34043 Gli  
98485,77.9339,-115.7136,-78.8593,0.991,125.78557,-0.52,5.5,1,522.44,1,6.24,8.33,0.047,-21.045,-15.38,26.066,115836,HIP115836 HD219765 Gli Tau Oct 
92256,73.2706,5.5592,-95.6632,0.946,71.26741,0.09,5.5,1,393.24,1,8.29,9.41,-24.744,-4.034,-8.102,26.347,108543,HIP108543 HD208737 Gli  
17489,-76.5348,7.3475,-28.4088,-0.005,32.9064,0.93,5.5,1,267.21,1,12.2,6.23,-22.458,-16.181,-8.264,28.888,20171,HIP20171 HD27295 Gli 53Tau 
8250,-76.979,65.2519,-51.9649,0.071,63.10273,0.22,5.5,1,370.03,1,8.81,9.31,3.31,6.854,-7.523,10.701,9570,HIP9570 HD12471 Gli Eps Tri 
96493,43.8169,16.7251,-102.103,0.266,61.26606,0.26,5.51,1,366.29,1,8.9,8.99,0,0,0,0,113532,HIP113532 HD217236 Gli  
18101,-119.764,151.0962,83.4375,-0.11,214.18349,-1.1,5.51,1,684.87,1,4.76,13.24,14.478,0.504,0.286,14.49,20860,HIP20860 HD26356 Gli  
